Ano,OBJETO.1,OBJETO.2,VALORES PREVISTOS,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
2016,92,Despesas de exercícios anteriores,"R$ 11716000,00","R$ 886423,78","R$ 875353,16","R$ 454769,94","R$ 444219,76","R$ 355122,44",R$ 318721,"R$ 299052,16","R$ 418458,18","R$ 293643,53","R$ 530189,14","R$ 379552,16","R$ 5215996,89","R$ 10471502,14"
2016,14,Diárias,"R$ 649284,27",R$ 0,"R$ 6852,4","R$ 19825,22","R$ 21546,32","R$ 55410,95","R$ 30397,86","R$ 36896,13","R$ 41054,78","R$ 82219,4","R$ 25458,13","R$ 33129,28","R$ 11944,85","R$ 364735,32"
2016,52,Equipamento e material permanente,"R$ 924008,42",R$ 0,R$ 0,"R$ 102221,69","R$ 3498,8","R$ 6619,8","R$ 82137,45",R$ 43585,"R$ 17524,52","R$ 56301,2",R$ 54321,R$ 10917,"R$ 129224,2","R$ 506350,66"
2016,93,Indenizações e restituições,"R$ 2023000,00",R$ 17750,R$ 18060,R$ 10250,"R$ 61147,56","R$ 123745,33","R$ 37750,17","R$ 37750,17","R$ 24051,33","R$ 33443,36","R$ 22889,18","R$ 30533,44","R$ 76590,77","R$ 493961,31"
2016,37,Locação de mão-de-obra,"R$ 1374853,17",R$ 0,"R$ 5729,26","R$ 123333,25","R$ 123333,25","R$ 123333,25","R$ 218612,38",R$ 0,"R$ 105532,97","R$ 211065,94",R$ 0,"R$ 105532,97","R$ 211065,94","R$ 1227539,21"
2016,30,Material de consumo,"R$ 1158814,28",R$ 0,R$ 1970,R$ 2495,"R$ 10960,3","R$ 40784,85","R$ 49399,51","R$ 16393,48","R$ 19818,03","R$ 41475,7","R$ 58983,39","R$ 7089,02","R$ 55232,48","R$ 304601,76"
2016,32,"Material, Bem ou Serv.Dist.Gratuita","R$ 20000,00",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 0,00"
2016,51,Obras e Instalações,"R$ 603125,90",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 0,00"
2016,13,Obrigações Patronais,"R$ 951000,00",R$ 0,"R$ 73288,9","R$ 138810,66",R$ 0,"R$ 67758,76","R$ 47964,78","R$ 66702,63","R$ 66993,69","R$ 66611,16","R$ 133238,95",R$ 0,"R$ 209831,39","R$ 871200,92"
2016,47,Obrigações Tributárias e contributivas,"R$ 95000,00","R$ 226,44",R$ 0,"R$ 948,19",R$ 0,R$ 88,"R$ 538,98","R$ 1061,03",R$ 0,R$ 88,"R$ 199,86",R$ 0,R$ 500,"R$ 3650,50"
2016,OUTRAS,OUTRAS DESPESAS CORRENTES,"R$ 40538831,97","R$ 2171544,12","R$ 2320018,12","R$ 1542445,59","R$ 3701404,76","R$ 2966854,06","R$ 2847496,35","R$ 2769353,9","R$ 2611225,72","R$ 2486054,47","R$ 3251161,87","R$ 3365549,08","R$ 3061667,86","R$ 33094775,90"
2016,16,Outras despesas variáveis - pessoal civíl,"R$ 7840000,00","R$ 635368,76","R$ 530864,69","R$ 536058,83","R$ 520720,98","R$ 580718,55","R$ 655956,55","R$ 691140,15","R$ 611295,12","R$ 575371,99","R$ 607214,65","R$ 605938,55","R$ 594508,84","R$ 7145157,66"
2016,08,Outros Benefícios Assistenciais,"R$ 14795819,29","R$ 1220705,25","R$ 1218867,35",R$ 0,"R$ 2442964,41","R$ 1244792,01","R$ 1216361,94","R$ 1238591,61","R$ 1209868,32","R$ 525213,22","R$ 1916035,69","R$ 1211297,13","R$ 1209373,3","R$ 14654070,23"
2016,05,Outros benefícios previdenciários,"R$ 1000,00",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 0,00"
2016,39,Outros Serviços de Terc. PJ,"R$ 401919,88",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 148470,R$ 0,"R$ 148470,00"
2016,39,Outros Serviços de Terc. PJ,"R$ 7212729,74","R$ 5407,92","R$ 140276,1","R$ 442790,01","R$ 106025,71","R$ 392966,54","R$ 358023,12","R$ 466000,72","R$ 237948,43",R$ 210805,"R$ 250226,48","R$ 390872,94","R$ 532629,21","R$ 3533972,18"
2016,36,Outros Serviços de Terc.P.Física,"R$ 360511,91",R$ 0,"R$ 4653,97","R$ 14003,97",R$ 0,"R$ 37357,94","R$ 4653,97",R$ 11250,"R$ 14520,27","R$ 28524,24","R$ 5170,27","R$ 24203,47","R$ 18056,27","R$ 162394,37"
2016,33,Passagens e despesas c/ locom.,"R$ 526657,43",R$ 0,R$ 0,R$ 0,R$ 0,"R$ 25384,29","R$ 10803,98","R$ 27919,94","R$ 22904,37","R$ 23975,73",R$ 49599,R$ 0,"R$ 43251,86","R$ 203839,17"
2016,03,Pensões,"R$ 12898000,00","R$ 902247,65","R$ 914885,55","R$ 905862,73","R$ 905960,45","R$ 764048,77","R$ 740939,93","R$ 773323,19","R$ 899324,45","R$ 803954,21","R$ 1070441,87","R$ 1259544,43","R$ 1070441,36","R$ 11010974,59"
2016,PESSOAL,PESSOAL E ENCARGOS SOCIAIS,"R$ 195501000,00","R$ 15637759,11","R$ 12541113,6","R$ 12152455,39","R$ 11852598,08","R$ 9641194,38","R$ 10860091,81","R$ 13006180,52","R$ 14154480,04","R$ 10323399,21","R$ 14301691,12","R$ 12154797,51","R$ 19262619,65","R$ 155888380,42"
2016,31,"Premiaçoes culturais, Art. Cient.Desp.","R$ 35000,00",R$ 0,R$ 2200,R$ 2500,R$ 2700,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 7400,00"
2016,96,Ressarc. Desp pessoal requisitado,"R$ 670000,00",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 0,00"
2016,91,Sentenças Judiciais,"R$ 1000,00",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 0,00"
2016,35,Serviço de Consultoria,"R$ 448400,00",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 0,00"
2016,11,Vencimentos e vantagens fixas,"R$ 133582000,00","R$ 11191661,24","R$ 8090002,16","R$ 8085496,31","R$ 7967621,98","R$ 6176992,53","R$ 7418093,81","R$ 9463175,97","R$ 10141558,78","R$ 6858556,45","R$ 9634164,94","R$ 8200062,32","R$ 10351966,03","R$ 103579352,52"
2017,INVESTIMENTO,,"R$ 3757581,17",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 24630,R$ 8550,R$ 7918,R$ 15449,R$ 10660,"R$ 241490,31","R$ 310773,6","R$ 619470,91"
2017,01,Aposentadorias,"R$ 26574574,88","R$ 1749100,21","R$ 1758678,53","R$ 1738559,2","R$ 1737944,86","R$ 1722971,45","R$ 1712080,75","R$ 1727883,53","R$ 1702475,01","R$ 627410,29","R$ 3412187,84","R$ 3218302,26","R$ 3072703,9","R$ 24180297,83"
2017,61,Aquisição de Imóveis,"R$ 1800000,00",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 0,00"
2017,46,Auxílio alimentação,"R$ 12109903,99","R$ 928109,07","R$ 920663,61","R$ 917190,84","R$ 907899,93","R$ 917254,44","R$ 916681,76","R$ 942772,68","R$ 1119890,88","R$ 1130849,99","R$ 1127413,61","R$ 1134981,78","R$ 1146195,4","R$ 12109903,99"
2017,42,Auxílios,"R$ 0,00",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 0,00"
2017,04,Contratação por tempo determinado,"R$ 0,00",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 0,00"
2017,41,Contribuições,"R$ 1950000,00",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 1100000,"R$ 1100000,00"
2017,92,Despesas de exercícios anteriores,"R$ 4101339,76","R$ 188929,46","R$ 119057,44","R$ 70753,03","R$ 71524,69","R$ 75505,43","R$ 94612,49","R$ 48061,99","R$ 42567,96","R$ 62405,86","R$ 63457,62","R$ 138295,24","R$ 2305101,52","R$ 3280272,73"
2017,14,Diárias,"R$ 524920,43","R$ 16602,96","R$ 22425,72","R$ 48086,43","R$ 33281,4","R$ 55472,13",R$ 43213,"R$ 43855,64","R$ 68702,68","R$ 72845,48","R$ 39248,29","R$ 60388,18","R$ 20798,52","R$ 524920,43"
2017,52,Equipamento e material permanente,"R$ 434965,29",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 24630,R$ 8550,R$ 0,R$ 15449,R$ 10660,"R$ 38982,2","R$ 176174,52","R$ 274445,72"
2017,93,Indenizações e restituições,"R$ 23857841,25","R$ 53307,53",R$ 34639,"R$ 70245,23",R$ 42208,"R$ 11863,27","R$ 1651116,03","R$ 905693,07","R$ 834884,21",R$ 47564,"R$ 3238457,59","R$ 1739801,65","R$ 14887659,96","R$ 23517439,54"
2017,37,Locação de mão-de-obra,"R$ 1360796,37",R$ 0,R$ 0,"R$ 105532,97","R$ 105532,97","R$ 105532,97","R$ 211065,94",R$ 0,"R$ 211065,94",R$ 0,"R$ 105532,97","R$ 68019,54","R$ 114326,7","R$ 1026610,00"
2017,30,Material de consumo,"R$ 668832,96",R$ 0,R$ 2000,"R$ 2510,8","R$ 2469,8","R$ 81213,52","R$ 76393,27","R$ 35441,56","R$ 39547,06","R$ 64056,2","R$ 41472,42",R$ 45761,"R$ 126923,42","R$ 517789,05"
2017,32,"Material, Bem ou Serv.Dist.Gratuita","R$ 0,00",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 0,00"
2017,51,Obras e Instalações,"R$ 1281572,20",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 42378,21","R$ 106699,08","R$ 149077,29"
2017,13,Obrigações Patronais,"R$ 915671,10","R$ 11591,46","R$ 80164,54","R$ 70105,23","R$ 67086,57","R$ 73750,23",R$ 0,"R$ 136907,62",R$ 0,"R$ 67133,56","R$ 208947,96","R$ 68262,99","R$ 131720,94","R$ 915671,10"
2017,47,Obrigações Tributárias e contributivas,"R$ 2020,15",R$ 0,"R$ 294,43",R$ 0,R$ 0,"R$ 154,55","R$ 1245,63",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 325,54","R$ 2020,15"
2017,OUTRAS,OUTRAS DESPESAS CORRENTES,"R$ 37336257,34","R$ 2288659,84","R$ 2329212,93","R$ 2868758,97","R$ 2480976,03","R$ 2647956,68","R$ 2247400,72","R$ 3368331,59","R$ 3229111,65","R$ 2825997,55","R$ 3054041,06","R$ 3020933,9",R$ 4247582,"R$ 34608962,92"
2017,16,Outras despesas variáveis - pessoal civíl,"R$ 8554797,49","R$ 602368,22","R$ 708861,79","R$ 700722,96","R$ 729489,01","R$ 745768,05","R$ 727507,67","R$ 751418,85","R$ 681829,28",R$ 0,"R$ 1479599,53","R$ 715888,34","R$ 711343,79","R$ 8554797,49"
2017,08,Outros Benefícios Assistenciais,"R$ 14764085,49","R$ 1212436,53","R$ 1243066,96","R$ 1213226,7","R$ 1207849,6","R$ 1243764,98","R$ 527449,45","R$ 1955508,75","R$ 1236306,04","R$ 1240106,04","R$ 1252086,76","R$ 1233300,07","R$ 1198983,61","R$ 14764085,49"
2017,05,Outros benefícios previdenciários,"R$ 0,00",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 0,00"
2017,39,Outros Serviços de Terc. PJ,"R$ 241043,68",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 7918,R$ 0,R$ 0,"R$ 160129,9",R$ 27900,"R$ 195947,90"
2017,39,Outros Serviços de Terc. PJ,"R$ 4959157,11","R$ 78203,75","R$ 99723,21","R$ 495847,47","R$ 147227,48","R$ 198407,7","R$ 386462,73","R$ 315074,06","R$ 428478,92","R$ 237570,57","R$ 427253,83","R$ 398305,19","R$ 444648,76","R$ 3657203,67"
2017,36,Outros Serviços de Terc.P.Física,"R$ 194460,60",R$ 0,R$ 0,"R$ 31112,54","R$ 15556,27","R$ 5170,27","R$ 15556,27","R$ 25942,27","R$ 15637,63","R$ 15637,63","R$ 15637,63","R$ 15637,63","R$ 15637,63","R$ 171525,77"
2017,33,Passagens e despesas c/ locom.,"R$ 455440,79",R$ 0,R$ 0,"R$ 28400,52","R$ 35085,24","R$ 29122,85","R$ 53378,89","R$ 38692,4","R$ 51336,17","R$ 54931,64","R$ 29430,61","R$ 30774,65","R$ 40599,8","R$ 391752,77"
2017,03,Pensões,"R$ 13809072,04","R$ 805220,07","R$ 812879,57","R$ 812534,82","R$ 812893,9","R$ 828507,39","R$ 828507,39","R$ 840035,15","R$ 834462,1","R$ 314035,57","R$ 1711810,81","R$ 2155937,97","R$ 1852608,5","R$ 12609433,24"
2017,PESSOAL,PESSOAL E ENCARGOS SOCIAIS,"R$ 211059189,93","R$ 14057266,89","R$ 11832924,98","R$ 11190929,99","R$ 10708809,18","R$ 11181131,85","R$ 13683586,41","R$ 14239730,01","R$ 11285599,96","R$ 5834796,21","R$ 26623984,14","R$ 25324938,42","R$ 40025639,85","R$ 195989337,89"
2017,31,"Premiaçoes culturais, Art. Cient.Desp.","R$ 16287,85",R$ 0,R$ 6400,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 6400,"R$ 12800,00"
2017,96,Ressarc. Desp pessoal requisitado,"R$ 200005,24",R$ 0,R$ 0,R$ 0,R$ 0,"R$ 31454,58",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"-R$ 31454,58","R$ 0,00"
2017,91,Sentenças Judiciais,"R$ 46490,84",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 46490,84",R$ 0,R$ 0,R$ 0,"R$ 46490,84"
2017,35,Serviço de Consultoria,"R$ 0,00",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 0,00"
2017,11,Vencimentos e vantagens fixas,"R$ 133329748,93","R$ 10700057,47","R$ 8353283,11","R$ 7754860,22","R$ 7273735,49","R$ 7703174,72","R$ 8685715,86","R$ 9840774,03","R$ 7247527,73","R$ 4679756,09","R$ 16525487,73","R$ 17322215,83","R$ 17128698,44","R$ 123215286,72"
2018,INVESTIMENTO,,"R$ 8096935,39",R$ 0,R$ 0,R$ 0,R$ 5500,R$ 0,R$ 958,"R$ 63852,31","R$ 539,98","R$ 140318,44","R$ 1534971,94","R$ 11364,92","R$ 1964842,53","R$ 3722348,12"
2018,01,Aposentadorias,"R$ 25823720,81","R$ 1786068,67","R$ 1702289,54","R$ 581010,49","R$ 3818810,35","R$ 2035529,17","R$ 2042529,38","R$ 1842955,12","R$ 2340155,47","R$ 2031600,06","R$ 2098167,06","R$ 1799169,38","R$ 3049290,51","R$ 25127575,20"
2018,61,Aquisição de Imóveis,"R$ 0,00",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 0,00"
2018,61,Aquisição de Imóveis,"R$ 0,00",R$ 0,R$ 20000000,R$ 0,-R$ 20000000,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 0,00"
2018,46,Auxílio alimentação,"R$ 14942570,14","R$ 1178563,72","R$ 1158240,98","R$ 1178640,92","R$ 1226063,74","R$ 1191545,59","R$ 1184204,72","R$ 1185759,75","R$ 1390181,77","R$ 1290609,23","R$ 1305445,64","R$ 1321904,78","R$ 1331409,3","R$ 14942570,14"
2018,42,Auxílios,"R$ 0,00",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 0,00"
2018,04,Contratação por tempo determinado,"R$ 0,00",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 0,00"
2018,41,Contribuições,"R$ 1700000,00",R$ 0,R$ 0,R$ 0,R$ 0,R$ 400000,R$ 0,R$ 200000,R$ 100000,R$ 0,R$ 0,R$ 0,R$ 500000,"R$ 1200000,00"
2018,41,Contribuições (transferência a fundos - previdência),"R$ 0,00",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 0,00"
2018,92,Despesas de exercícios anteriores,"R$ 60804388,96","R$ 1570188,53","R$ 127197,84","R$ 1929227,05","R$ 1600540,52","R$ 58883,49",R$ 3304,"R$ 53693073,25",R$ 0,R$ 0,"R$ 75455,95","R$ 36893,13","R$ 1366835,87","R$ 60461599,63"
2018,14,Diárias,"R$ 682493,47","R$ 22378,41","R$ 24701,7","R$ 41788,95","R$ 49315,46","R$ 60125,5","R$ 91338,49","R$ 46951,04","R$ 69603,81","R$ 78399,39","R$ 61870,81","R$ 88751,41","R$ 47268,5","R$ 682493,47"
2018,52,Equipamento e material permanente,"R$ 6269377,99",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 958,R$ 0,"R$ 539,98","R$ 140318,44","R$ 1534971,94","R$ 11364,92","R$ 1964842,53","R$ 3652995,81"
2018,93,Indenizações e restituições,"R$ 61130663,43","R$ 32474,86",R$ 12182,"R$ 1007388,29","R$ 7840645,37","R$ 7967002,94","R$ 462325,85","R$ 13458360,5","R$ 7274528,95","R$ 3574989,37","R$ 2982924,89","R$ 1772161,09","R$ 13203811,42","R$ 59588795,53"
2018,INVERSÕES,INVERSÕES FINANCEIRAS,"R$ 0,00",R$ 0,R$ 20000000,R$ 0,-R$ 20000000,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 0,00"
2018,37,Locação de mão-de-obra,"R$ 1417635,35",R$ 0,R$ 0,"R$ 114326,7",R$ 0,"R$ 113637,49","R$ 227267,25","R$ 228542,27",R$ 0,"R$ 114074,61","R$ 230698,63","R$ 19206,87","R$ 225642,38","R$ 1273396,20"
2018,30,Material de consumo,"R$ 709883,77",R$ 1000,R$ 0,"R$ 22404,61","R$ 62538,9",R$ 57810,R$ 8770,"R$ 41985,2",R$ 5194,"R$ 81738,04","R$ 69677,33","R$ 66026,37","R$ 79235,35","R$ 496379,80"
2018,32,"Material, Bem ou Serv.Dist.Gratuita","R$ 0,00",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 0,00"
2018,51,Obras e Instalações,"R$ 1515032,40",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 63852,31",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 63852,31"
2018,13,Obrigações Patronais,"R$ 1362022,68","R$ 36159,26","R$ 97848,68","R$ 82973,41","R$ 70512,77","R$ 77289,96","R$ 74060,94","R$ 79467,67","R$ 97956,31","R$ 110204,51","R$ 112293,34","R$ 120892,65","R$ 223614,63","R$ 1183274,13"
2018,47,Obrigações Tributárias e contributivas,"R$ 4798,10","R$ 579,28",R$ 0,R$ 50,R$ 1839,R$ 0,R$ 1600,"R$ 677,34",R$ 0,R$ 0,R$ 0,R$ 0,"R$ 52,48","R$ 4798,10"
2018,OUTRAS,OUTRAS DESPESAS CORRENTES,"R$ 86141506,05","R$ 2492293,95","R$ 1337223,81","R$ 4317393,33","R$ 3139134,53","R$ 3735066,8","R$ 3630988,14","R$ 15834177,53","R$ 11964614,64","R$ 6999322,89","R$ 6640346,54","R$ 5066709,85","R$ 16728462,2","R$ 81885734,21"
2018,16,Outras despesas variáveis - pessoal civíl,"R$ 11096673,83","R$ 745452,06","R$ 786208,62",R$ 0,"R$ 1780719,67","R$ 900158,43","R$ 1022173,78","R$ 970858,93","R$ 977447,93","R$ 946157,61","R$ 891902,13","R$ 924272,87","R$ 974703,1","R$ 10920055,13"
2018,08,Outros Benefícios Assistenciais,"R$ 14638490,30","R$ 1276259,74",R$ 0,"R$ 2507094,54","R$ 1258796,28","R$ 1253580,46","R$ 1269650,76","R$ 17955,15","R$ 2557401,52","R$ 1279774,08","R$ 1287444,59","R$ 1319420,74","R$ 595203,69","R$ 14622581,55"
2018,05,Outros benefícios previdenciários,"R$ 0,00",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 0,00"
2018,39,Outros Serviços de Terc. PJ,"R$ 12525,00",R$ 0,R$ 0,R$ 0,R$ 5500,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 5500,00"
2018,39,Outros Serviços de Terc. PJ,"R$ 6239489,76","R$ 9746,68","R$ 150240,15","R$ 386030,75","R$ 409414,77","R$ 364081,66","R$ 385568,79","R$ 596588,19","R$ 504223,21","R$ 392157,41","R$ 641158,66","R$ 218268,33","R$ 730156,62","R$ 4787635,22"
2018,36,Outros Serviços de Terc.P.Física,"R$ 223997,36",R$ 0,"R$ 702,8","R$ 31275,26","R$ 15637,63","R$ 15637,63",R$ 0,"R$ 31275,26","R$ 18298,45","R$ 20861,93","R$ 10475,93","R$ 31247,93","R$ 20861,93","R$ 196274,75"
2018,33,Passagens e despesas c/ locom.,"R$ 390512,64",R$ 0,R$ 0,"R$ 25022,52",R$ 0,"R$ 32666,17","R$ 43440,96","R$ 26082,83","R$ 44305,7","R$ 81988,52","R$ 21632,3","R$ 29873,64","R$ 78734,51","R$ 383747,15"
2018,03,Pensões,"R$ 12497228,39","R$ 806961,24","R$ 839455,13","R$ 321284,37","R$ 1801801,78","R$ 958965,74","R$ 935658,89","R$ 768561,44","R$ 1118561,41","R$ 934111,48","R$ 913481,68","R$ 1256426,5","R$ 1515524,58","R$ 12170794,24"
2018,PESSOAL,PESSOAL E ENCARGOS SOCIAIS,"R$ 273598002,12","R$ 16527573,38","R$ 7550849,34","R$ 12599711,41","R$ 33811980,08","R$ 21644467,62","R$ 15472267,24","R$ 67992384,51","R$ 17184901,68","R$ 14053810,66","R$ 13952105,13","R$ 11694171,67","R$ 24993593,92","R$ 257477816,64"
2018,31,"Premiaçoes culturais, Art. Cient.Desp.","R$ 13833,85",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 3487,85",R$ 6400,R$ 0,"R$ 9887,85"
2018,96,Ressarc. Desp pessoal requisitado,"R$ 229235,28",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 16796,72",R$ 0,R$ 0,"R$ 16796,72"
2018,91,Sentenças Judiciais,"R$ 1000,00",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 0,00"
2018,35,Serviço de Consultoria,"R$ 0,00",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 0,00"
2018,40,Serviços de Tecnologia de Informação e Comu,"R$ 1011088,54",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 877,23","R$ 84730,31","R$ 32984,31","R$ 191028,17","R$ 49850,16","R$ 359470,18"
2018,11,Vencimentos e vantagens fixas,"R$ 145119781,51","R$ 11554034,88","R$ 3989005,71","R$ 8688586,88","R$ 17014478,37","R$ 9892620,19","R$ 11351361,57","R$ 10637468,1","R$ 12650780,56",R$ 10031737,"R$ 9836553,85","R$ 7558937,66","R$ 17729861,09","R$ 130935425,86"
2019,INVESTIMENTO,,"R$ 3488021,02",R$ 0,R$ 0,R$ 0,"R$ 156838,48","R$ 80626,81","R$ 60947,98","R$ 110914,66","R$ 97999,6","R$ 245246,47","R$ 67125,63","R$ 207667,69","R$ 654982,9","R$ 1682350,22"
2019,01,Aposentadorias,"R$ 14840019,24","R$ 2088084,72","R$ 2084449,34","R$ 2391951,95","R$ 1974118,65","R$ 2326878,22","R$ 1981840,09","R$ 27822,8",R$ 0,"R$ 407228,89","R$ 839816,32","R$ 140412,74","R$ 577415,52","R$ 14840019,24"
2019,61,Aquisição de Imóveis,"R$ 0,00",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 0,00"
2019,46,Auxílio alimentação,"R$ 16623798,00","R$ 1362627,39","R$ 1362472,8","R$ 1334654,63","R$ 1353431,98","R$ 1363477,4","R$ 1400445,69","R$ 1411404,62","R$ 1438927,4","R$ 1385532,04","R$ 1409254,75","R$ 1407260,08","R$ 1394309,22","R$ 16623798,00"
2019,42,Auxílios,"R$ 7996,00",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 7996,"R$ 7996,00"
2019,04,Contratação por tempo determinado,"R$ 0,00",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 0,00"
2019,41,Contribuições,"R$ 1777600,00",R$ 0,R$ 0,R$ 0,R$ 0,R$ 500000,R$ 0,R$ 200000,R$ 100000,R$ 143596,R$ 200000,-R$ 7996,R$ 142000,"R$ 1277600,00"
2019,41,Contribuições (transferência a fundos - previdência),"R$ 0,00",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 0,00"
2019,92,Despesas de exercícios anteriores,"R$ 11956242,46","R$ 33218,93","R$ 15031,94",R$ 8500,"R$ 128868,93","R$ 138216,54","R$ 5598942,28","R$ 2082589,72","R$ 2022876,27","R$ 1586990,42","R$ 32649,44","R$ 30805,9","R$ 227017,31","R$ 11905707,68"
2019,14,Diárias,"R$ 689771,22","R$ 11563,36","R$ 21405,35","R$ 84505,61","R$ 71126,77","R$ 61978,16","R$ 10635,93","R$ 43348,41","R$ 97381,49","R$ 74590,03","R$ 47578,35","R$ 88242,15","R$ 77415,61","R$ 689771,22"
2019,52,Equipamento e material permanente,"R$ 2601090,06",R$ 0,R$ 0,R$ 0,"R$ 109463,6","R$ 70649,88","R$ 52257,98","R$ 64417,66","R$ 97999,6","R$ 67590,28","R$ 67125,63","R$ 39549,85",R$ 644140,"R$ 1213194,48"
